inst#,actual,predicted,error,prediction
118,2:Y,2:Y,,0.647
119,2:Y,2:Y,,0.647
120,2:Y,2:Y,,0.647
121,2:Y,2:Y,,0.647
122,2:Y,2:Y,,0.647
123,2:Y,2:Y,,0.647
124,1:N,2:Y,+,0.647
125,1:N,2:Y,+,0.647
126,2:Y,2:Y,,0.647
127,1:N,2:Y,+,0.647
128,1:N,2:Y,+,0.647
129,2:Y,2:Y,,0.647
130,1:N,2:Y,+,0.647
131,1:N,2:Y,+,0.647
132,1:N,2:Y,+,0.647
133,2:Y,2:Y,,0.647
134,1:N,2:Y,+,0.647
135,1:N,2:Y,+,0.647
136,1:N,2:Y,+,0.647
137,1:N,2:Y,+,0.647
138,2:Y,2:Y,,0.647
139,1:N,2:Y,+,0.647
140,1:N,2:Y,+,0.647
141,2:Y,2:Y,,0.647
142,2:Y,2:Y,,0.647
143,2:Y,2:Y,,0.647
144,2:Y,2:Y,,0.647
145,1:N,2:Y,+,0.647
146,1:N,2:Y,+,0.647
147,1:N,2:Y,+,0.647
148,2:Y,2:Y,,0.647
149,2:Y,2:Y,,0.647
150,2:Y,2:Y,,0.647
151,2:Y,2:Y,,0.647
152,1:N,2:Y,+,0.647
153,2:Y,2:Y,,0.647
154,1:N,2:Y,+,0.647
155,2:Y,2:Y,,0.647
156,1:N,2:Y,+,0.647
157,2:Y,2:Y,,0.647
158,2:Y,2:Y,,0.647
159,2:Y,2:Y,,0.647
160,1:N,2:Y,+,0.647
161,1:N,2:Y,+,0.647
162,2:Y,2:Y,,0.647
163,2:Y,2:Y,,0.647
164,2:Y,2:Y,,0.647
165,1:N,2:Y,+,0.647
166,2:Y,2:Y,,0.647
167,1:N,2:Y,+,0.647
168,1:N,2:Y,+,0.647
169,1:N,2:Y,+,0.647
170,1:N,2:Y,+,0.647
171,1:N,2:Y,+,0.647
172,2:Y,2:Y,,0.647
173,1:N,2:Y,+,0.647
174,2:Y,2:Y,,0.647
175,1:N,2:Y,+,0.647
176,2:Y,2:Y,,0.647
177,2:Y,2:Y,,0.647
178,1:N,2:Y,+,0.647
179,1:N,2:Y,+,0.647
180,2:Y,2:Y,,0.647
181,1:N,2:Y,+,0.647
182,1:N,2:Y,+,0.647
183,1:N,2:Y,+,0.647
184,1:N,2:Y,+,0.647
185,1:N,2:Y,+,0.647
186,1:N,2:Y,+,0.647
187,2:Y,2:Y,,0.647
188,1:N,2:Y,+,0.647
189,1:N,2:Y,+,0.647
190,2:Y,2:Y,,0.647
191,1:N,2:Y,+,0.647
192,1:N,2:Y,+,0.647
193,2:Y,2:Y,,0.647
194,2:Y,2:Y,,0.647
195,2:Y,2:Y,,0.647
196,1:N,2:Y,+,0.647
197,1:N,2:Y,+,0.647
198,2:Y,2:Y,,0.647
199,1:N,2:Y,+,0.647
200,1:N,2:Y,+,0.647
201,2:Y,2:Y,,0.647
202,2:Y,2:Y,,0.647
203,1:N,2:Y,+,0.647
204,2:Y,2:Y,,0.647
205,1:N,2:Y,+,0.647
206,1:N,2:Y,+,0.647
207,2:Y,2:Y,,0.647
208,1:N,2:Y,+,0.647
209,2:Y,2:Y,,0.647
210,2:Y,2:Y,,0.647
211,1:N,2:Y,+,0.647
212,2:Y,2:Y,,0.647
213,1:N,2:Y,+,0.647
214,1:N,2:Y,+,0.647
215,1:N,2:Y,+,0.647
216,1:N,2:Y,+,0.647
217,2:Y,2:Y,,0.647
218,1:N,2:Y,+,0.647
219,1:N,2:Y,+,0.647
220,2:Y,2:Y,,0.647
221,2:Y,2:Y,,0.647
222,1:N,2:Y,+,0.647
223,2:Y,2:Y,,0.647
224,2:Y,2:Y,,0.647
225,2:Y,2:Y,,0.647
226,2:Y,2:Y,,0.647
227,2:Y,2:Y,,0.647
228,1:N,2:Y,+,0.647
229,1:N,2:Y,+,0.647
230,1:N,2:Y,+,0.647
231,2:Y,2:Y,,0.647
232,1:N,2:Y,+,0.647
233,1:N,2:Y,+,0.647

