inst#,actual,predicted,error,prediction
144,1:N,1:N,,0.875
145,2:Y,2:Y,,0.534
146,1:N,1:N,,0.814
147,2:Y,1:N,+,0.537
148,2:Y,1:N,+,0.811
149,2:Y,1:N,+,0.501
150,1:N,2:Y,+,0.618
151,2:Y,2:Y,,0.675
152,2:Y,1:N,+,0.504
153,1:N,1:N,,0.713
154,2:Y,1:N,+,0.715
155,2:Y,2:Y,,0.73
156,1:N,1:N,,0.584
157,2:Y,1:N,+,0.784
158,2:Y,1:N,+,0.533
159,2:Y,2:Y,,0.996
160,1:N,2:Y,+,0.678
161,1:N,1:N,,0.857
162,1:N,1:N,,0.917
163,2:Y,1:N,+,0.901
164,2:Y,1:N,+,0.825
165,1:N,1:N,,0.634
166,2:Y,2:Y,,0.972
167,2:Y,2:Y,,0.978
168,2:Y,2:Y,,0.849
169,1:N,2:Y,+,0.64
170,2:Y,2:Y,,0.947
171,1:N,1:N,,0.968
172,2:Y,2:Y,,0.82
173,1:N,1:N,,0.755
174,2:Y,2:Y,,0.988
175,1:N,1:N,,0.952
176,1:N,2:Y,+,0.523
177,1:N,1:N,,0.898
178,2:Y,2:Y,,0.836
179,2:Y,2:Y,,0.939
180,1:N,2:Y,+,0.946
181,2:Y,1:N,+,0.746
182,2:Y,2:Y,,0.986
183,1:N,2:Y,+,0.979
184,2:Y,2:Y,,0.549
185,1:N,1:N,,0.588
186,1:N,1:N,,0.949
187,1:N,1:N,,0.841
188,1:N,2:Y,+,0.532
189,1:N,1:N,,0.891
190,1:N,1:N,,0.985
191,2:Y,2:Y,,0.994
192,1:N,1:N,,0.529
193,1:N,2:Y,+,0.727
194,1:N,2:Y,+,0.893
195,2:Y,2:Y,,0.93
196,1:N,2:Y,+,0.638
197,1:N,1:N,,0.765
198,2:Y,2:Y,,0.869
199,1:N,1:N,,0.864
200,1:N,2:Y,+,0.764
201,1:N,1:N,,0.981
202,2:Y,2:Y,,0.975
203,2:Y,2:Y,,0.814
204,2:Y,2:Y,,0.882
205,2:Y,1:N,+,0.877
206,1:N,1:N,,0.975
207,1:N,1:N,,0.982
208,2:Y,2:Y,,0.906
209,2:Y,2:Y,,0.94
210,2:Y,1:N,+,0.847
211,1:N,1:N,,0.928
212,2:Y,2:Y,,0.893
213,2:Y,2:Y,,0.908
214,2:Y,2:Y,,0.975
215,1:N,1:N,,0.989
216,1:N,1:N,,0.918
217,2:Y,1:N,+,0.719
218,2:Y,2:Y,,0.804
219,1:N,1:N,,0.854
220,1:N,1:N,,0.782
221,2:Y,2:Y,,0.719
222,2:Y,2:Y,,0.858
223,1:N,1:N,,0.623
224,2:Y,2:Y,,0.639
225,2:Y,2:Y,,0.732
226,1:N,2:Y,+,0.742
227,1:N,1:N,,0.657
228,2:Y,1:N,+,0.639
229,1:N,2:Y,+,0.651
230,2:Y,2:Y,,0.643
231,1:N,1:N,,0.69
232,1:N,1:N,,0.626
233,2:Y,2:Y,,0.883
234,1:N,1:N,,0.976
235,2:Y,1:N,+,0.935
236,1:N,2:Y,+,0.514
237,1:N,2:Y,+,0.563
238,1:N,1:N,,0.532
239,2:Y,1:N,+,0.592
240,1:N,1:N,,0.742
241,1:N,1:N,,0.513
242,1:N,1:N,,0.815
243,1:N,2:Y,+,0.55
244,1:N,1:N,,0.587
245,2:Y,2:Y,,0.76
246,1:N,2:Y,+,0.935
247,1:N,2:Y,+,0.849
248,1:N,2:Y,+,0.721
249,1:N,1:N,,0.632
250,1:N,1:N,,0.771
251,2:Y,1:N,+,0.557
252,2:Y,2:Y,,0.571
253,1:N,1:N,,0.519
254,1:N,1:N,,0.985
255,1:N,2:Y,+,0.828
256,1:N,2:Y,+,0.893
257,2:Y,1:N,+,0.757
258,2:Y,2:Y,,0.894
259,2:Y,1:N,+,0.862
260,1:N,1:N,,0.887
261,2:Y,2:Y,,0.964
262,2:Y,2:Y,,0.945
263,1:N,1:N,,0.624
264,2:Y,2:Y,,0.809
265,2:Y,1:N,+,0.879
266,2:Y,2:Y,,0.944
267,2:Y,2:Y,,0.973
268,1:N,1:N,,0.764
269,2:Y,2:Y,,0.971
270,2:Y,2:Y,,0.971
271,2:Y,2:Y,,0.542
272,1:N,2:Y,+,0.662
273,1:N,2:Y,+,0.777
274,2:Y,2:Y,,0.658
275,2:Y,2:Y,,0.717
276,2:Y,2:Y,,0.876
277,1:N,1:N,,0.963
278,1:N,1:N,,0.986
279,2:Y,2:Y,,0.9
280,1:N,1:N,,0.844
281,1:N,1:N,,0.884
282,2:Y,1:N,+,0.779
283,2:Y,2:Y,,0.606
284,2:Y,2:Y,,0.826
285,2:Y,2:Y,,0.985
286,2:Y,2:Y,,0.998
287,2:Y,2:Y,,0.595
288,1:N,1:N,,0.951
289,2:Y,2:Y,,0.904
290,1:N,1:N,,0.921
291,2:Y,2:Y,,0.652
292,1:N,2:Y,+,0.799
293,1:N,1:N,,0.951
294,2:Y,1:N,+,0.865
295,1:N,2:Y,+,0.564
296,1:N,1:N,,0.603
297,2:Y,2:Y,,0.94
298,2:Y,2:Y,,0.897
299,2:Y,1:N,+,0.678
300,2:Y,1:N,+,0.594
301,1:N,2:Y,+,0.966
302,1:N,1:N,,0.995
303,1:N,1:N,,0.745
304,1:N,1:N,,0.891
305,2:Y,1:N,+,0.832
306,1:N,2:Y,+,0.598
307,2:Y,2:Y,,0.9
308,2:Y,2:Y,,0.821
309,1:N,2:Y,+,0.53
310,2:Y,2:Y,,0.939
311,2:Y,1:N,+,0.902
312,2:Y,2:Y,,0.976
313,1:N,1:N,,0.949
314,2:Y,2:Y,,0.986
315,2:Y,2:Y,,0.665
316,2:Y,2:Y,,0.853
317,1:N,1:N,,0.559
318,1:N,1:N,,0.718
319,2:Y,1:N,+,0.783
320,2:Y,2:Y,,0.926
321,2:Y,2:Y,,0.851
322,1:N,2:Y,+,0.784
323,1:N,1:N,,0.508
324,1:N,1:N,,0.696
325,2:Y,2:Y,,0.994
326,1:N,1:N,,0.501
327,2:Y,1:N,+,0.633
328,2:Y,2:Y,,0.516
329,1:N,1:N,,0.628
330,2:Y,2:Y,,0.905
331,2:Y,2:Y,,0.684
332,1:N,2:Y,+,0.692
333,1:N,1:N,,0.774
334,2:Y,2:Y,,0.513
335,2:Y,2:Y,,0.628
336,1:N,1:N,,0.87
337,1:N,1:N,,0.918
338,2:Y,1:N,+,0.573
339,2:Y,2:Y,,0.669
340,1:N,1:N,,0.995
341,1:N,2:Y,+,0.829
342,2:Y,2:Y,,0.743
343,2:Y,2:Y,,0.974
344,2:Y,2:Y,,0.549
345,2:Y,2:Y,,0.881
346,2:Y,2:Y,,0.944
347,2:Y,2:Y,,0.954
348,1:N,1:N,,0.537
349,1:N,1:N,,0.737
350,1:N,1:N,,0.964
351,2:Y,2:Y,,0.94
352,2:Y,2:Y,,0.829
353,1:N,1:N,,0.894
354,2:Y,2:Y,,0.967
355,2:Y,2:Y,,0.991
356,2:Y,2:Y,,0.73
357,1:N,1:N,,0.92
358,2:Y,2:Y,,0.751
359,2:Y,2:Y,,0.741
360,2:Y,2:Y,,0.935
361,2:Y,1:N,+,0.577
362,2:Y,1:N,+,0.929
363,1:N,1:N,,0.953
364,2:Y,2:Y,,0.709
365,2:Y,1:N,+,0.666
366,1:N,2:Y,+,0.676
367,1:N,1:N,,0.854
368,2:Y,2:Y,,0.835
369,2:Y,2:Y,,0.939
370,1:N,1:N,,0.742
371,2:Y,1:N,+,0.782
372,1:N,1:N,,0.718
373,2:Y,2:Y,,0.825
374,2:Y,2:Y,,0.553
375,2:Y,2:Y,,0.661
376,2:Y,2:Y,,0.671
377,1:N,2:Y,+,0.968
378,2:Y,1:N,+,0.755
379,1:N,1:N,,0.925
380,2:Y,2:Y,,0.51
381,1:N,2:Y,+,0.623
382,1:N,2:Y,+,0.832
383,1:N,1:N,,0.569
384,1:N,1:N,,0.867
385,1:N,1:N,,0.957
386,1:N,1:N,,0.774
387,1:N,2:Y,+,0.722
388,1:N,1:N,,0.875
389,2:Y,2:Y,,0.657
390,1:N,1:N,,0.918
391,2:Y,2:Y,,0.789
392,2:Y,1:N,+,0.73
393,1:N,1:N,,0.926
394,2:Y,1:N,+,0.955
395,1:N,1:N,,0.769
396,2:Y,2:Y,,0.681
397,1:N,1:N,,0.859
398,2:Y,2:Y,,0.933
399,2:Y,2:Y,,0.941
400,2:Y,2:Y,,0.837
401,1:N,1:N,,0.944
402,2:Y,2:Y,,0.943
403,1:N,2:Y,+,0.857
404,2:Y,2:Y,,0.698
405,2:Y,2:Y,,0.935
406,2:Y,2:Y,,0.846
407,2:Y,1:N,+,0.808
408,2:Y,1:N,+,0.836
409,2:Y,2:Y,,0.942
410,1:N,1:N,,0.654
411,2:Y,2:Y,,0.742
412,1:N,1:N,,0.981
413,2:Y,1:N,+,0.548
414,2:Y,2:Y,,0.866
415,1:N,1:N,,0.899
416,1:N,1:N,,0.902
417,2:Y,2:Y,,0.977
418,2:Y,2:Y,,0.826
419,1:N,1:N,,0.837
420,1:N,1:N,,0.754
421,2:Y,2:Y,,0.554
422,2:Y,2:Y,,0.61
423,1:N,1:N,,0.722
424,1:N,1:N,,0.604
425,2:Y,2:Y,,0.674
426,1:N,2:Y,+,0.708
427,2:Y,2:Y,,0.769
428,1:N,1:N,,0.631
429,2:Y,1:N,+,0.658
430,1:N,2:Y,+,0.518
431,2:Y,2:Y,,0.526
432,2:Y,2:Y,,0.939
433,2:Y,2:Y,,0.761
434,1:N,2:Y,+,0.821
435,2:Y,1:N,+,0.84
436,2:Y,2:Y,,0.988
437,1:N,1:N,,0.669
438,2:Y,2:Y,,0.594
439,1:N,1:N,,0.711
440,1:N,1:N,,0.74
441,1:N,1:N,,0.984
442,1:N,2:Y,+,0.752
443,1:N,2:Y,+,0.885
444,2:Y,2:Y,,0.587
445,2:Y,2:Y,,0.789
446,2:Y,2:Y,,0.989
447,1:N,1:N,,0.67
448,1:N,1:N,,0.865
449,1:N,1:N,,0.999
450,2:Y,1:N,+,0.833
451,1:N,2:Y,+,0.663
452,1:N,1:N,,0.906
453,1:N,1:N,,0.968
454,2:Y,1:N,+,0.742
455,1:N,1:N,,0.743
456,2:Y,2:Y,,0.785
457,1:N,1:N,,0.918
458,1:N,2:Y,+,0.828
459,1:N,1:N,,0.578
460,1:N,1:N,,0.956
461,1:N,1:N,,0.992
462,2:Y,1:N,+,0.864
463,2:Y,2:Y,,0.735
464,1:N,1:N,,0.965
465,1:N,1:N,,0.996
466,1:N,1:N,,0.92
467,1:N,2:Y,+,0.967
468,2:Y,2:Y,,0.869
469,1:N,1:N,,0.862
470,2:Y,2:Y,,0.868
471,1:N,1:N,,0.892
472,2:Y,2:Y,,0.944
473,1:N,1:N,,0.892
474,2:Y,2:Y,,0.874
475,1:N,2:Y,+,0.699
476,1:N,1:N,,0.739
477,2:Y,2:Y,,0.946
478,2:Y,2:Y,,0.864
479,2:Y,2:Y,,0.739
480,2:Y,2:Y,,0.998
481,1:N,1:N,,0.677
482,2:Y,2:Y,,0.725
483,2:Y,2:Y,,0.94
484,1:N,1:N,,0.982
485,2:Y,1:N,+,0.533
486,1:N,1:N,,0.522
487,1:N,1:N,,0.918
488,2:Y,1:N,+,0.886
489,1:N,1:N,,0.614
490,2:Y,1:N,+,0.535
491,2:Y,2:Y,,0.935
492,2:Y,1:N,+,0.877
493,1:N,2:Y,+,0.538
494,1:N,2:Y,+,0.756
495,1:N,1:N,,0.99
496,1:N,1:N,,0.989
497,1:N,1:N,,0.554
498,2:Y,2:Y,,0.957
499,1:N,1:N,,0.86
500,1:N,1:N,,0.816
501,1:N,2:Y,+,0.526
502,1:N,1:N,,0.819
503,1:N,1:N,,0.749
504,2:Y,2:Y,,0.959
505,1:N,2:Y,+,0.786
506,2:Y,2:Y,,0.878
507,1:N,1:N,,0.677
508,1:N,1:N,,0.779
509,2:Y,2:Y,,0.594
510,2:Y,2:Y,,0.501
511,2:Y,2:Y,,0.966
512,2:Y,2:Y,,0.986
513,2:Y,2:Y,,0.731
514,1:N,1:N,,0.659
515,1:N,1:N,,0.853
516,2:Y,2:Y,,0.986
517,2:Y,2:Y,,0.848
518,1:N,1:N,,0.722
519,2:Y,1:N,+,0.925
520,2:Y,2:Y,,0.992
521,1:N,2:Y,+,0.792
522,1:N,1:N,,0.717
523,2:Y,2:Y,,0.864
524,2:Y,2:Y,,0.82
525,1:N,1:N,,0.756
526,2:Y,1:N,+,0.648
527,1:N,1:N,,0.985
528,1:N,1:N,,0.963
529,2:Y,2:Y,,0.724
530,1:N,1:N,,0.536
531,2:Y,1:N,+,0.667
532,1:N,1:N,,0.947
533,1:N,1:N,,0.551
534,1:N,1:N,,0.936
535,2:Y,2:Y,,0.882
536,2:Y,2:Y,,0.962
537,1:N,2:Y,+,0.529
538,1:N,1:N,,0.753
539,2:Y,2:Y,,0.756
540,2:Y,1:N,+,0.585
541,2:Y,1:N,+,0.55
542,1:N,1:N,,0.841
543,2:Y,2:Y,,0.995
544,1:N,1:N,,0.996
545,2:Y,1:N,+,0.869
546,1:N,1:N,,0.945
547,1:N,1:N,,0.859
548,2:Y,2:Y,,0.638
549,1:N,2:Y,+,0.65
550,1:N,1:N,,0.63
551,2:Y,2:Y,,0.988
552,2:Y,2:Y,,0.977
553,1:N,1:N,,0.829
554,2:Y,2:Y,,0.73
555,1:N,2:Y,+,0.548
556,1:N,1:N,,0.981
557,2:Y,2:Y,,0.809
558,1:N,2:Y,+,0.72
559,2:Y,2:Y,,0.951
560,1:N,1:N,,0.931
561,1:N,2:Y,+,0.614
562,2:Y,1:N,+,0.843
563,1:N,2:Y,+,0.79
564,1:N,1:N,,0.949
565,2:Y,1:N,+,0.72
566,2:Y,1:N,+,0.592
567,1:N,1:N,,0.992
568,1:N,1:N,,0.953
569,1:N,1:N,,0.534
570,2:Y,1:N,+,0.934
571,1:N,1:N,,0.847
572,1:N,1:N,,0.828
573,1:N,1:N,,0.531
574,2:Y,1:N,+,0.632
575,2:Y,2:Y,,0.986
576,1:N,1:N,,0.993
577,2:Y,1:N,+,0.53
578,2:Y,2:Y,,0.582
579,2:Y,2:Y,,0.966
580,2:Y,2:Y,,0.966
581,2:Y,1:N,+,0.661
582,1:N,1:N,,0.858
583,1:N,1:N,,0.95
584,2:Y,2:Y,,0.964
585,2:Y,1:N,+,0.8
586,2:Y,2:Y,,0.85
587,2:Y,2:Y,,0.978
588,2:Y,2:Y,,0.89
589,2:Y,2:Y,,0.951
590,1:N,1:N,,0.794
591,1:N,1:N,,0.986
592,1:N,1:N,,0.984
593,2:Y,2:Y,,0.866
594,1:N,1:N,,0.975
595,1:N,1:N,,0.59
596,1:N,1:N,,0.974
597,2:Y,1:N,+,0.867
598,2:Y,2:Y,,0.647
599,1:N,1:N,,0.916
600,1:N,1:N,,0.906
601,2:Y,2:Y,,0.799
602,1:N,2:Y,+,0.857
603,1:N,2:Y,+,0.86
604,2:Y,2:Y,,0.797
605,1:N,1:N,,0.702
606,2:Y,1:N,+,0.95
607,2:Y,2:Y,,0.992
608,2:Y,1:N,+,0.596
609,1:N,1:N,,0.518
610,2:Y,2:Y,,0.921
611,1:N,1:N,,0.764
612,2:Y,2:Y,,0.97
613,2:Y,1:N,+,0.659
614,2:Y,2:Y,,0.884
615,2:Y,2:Y,,0.979
616,1:N,2:Y,+,0.67
617,1:N,2:Y,+,0.643
618,1:N,1:N,,0.932
619,1:N,2:Y,+,0.851
620,2:Y,1:N,+,0.536
621,2:Y,2:Y,,0.72
622,2:Y,2:Y,,0.977
623,2:Y,2:Y,,0.968
624,1:N,2:Y,+,0.513
625,1:N,2:Y,+,0.565
626,1:N,1:N,,0.81
627,1:N,2:Y,+,0.781
628,1:N,2:Y,+,0.639
629,2:Y,1:N,+,0.581
630,1:N,1:N,,0.838
631,2:Y,2:Y,,0.915
632,2:Y,2:Y,,0.708
633,1:N,2:Y,+,0.527
634,2:Y,2:Y,,0.937
635,2:Y,2:Y,,0.734
636,1:N,1:N,,0.927
637,1:N,2:Y,+,0.992
638,1:N,1:N,,0.967
639,1:N,1:N,,0.774
640,1:N,1:N,,0.757
641,1:N,1:N,,0.907
642,2:Y,2:Y,,0.764
643,1:N,1:N,,0.869
644,1:N,1:N,,0.873
645,2:Y,2:Y,,0.512
646,1:N,1:N,,0.908
647,2:Y,2:Y,,0.907
648,1:N,2:Y,+,0.521
649,1:N,1:N,,0.569
650,2:Y,2:Y,,0.767
651,1:N,1:N,,0.891
652,1:N,1:N,,0.574
653,2:Y,2:Y,,0.581
654,2:Y,2:Y,,0.987
655,2:Y,2:Y,,0.947
656,2:Y,2:Y,,0.613
657,2:Y,2:Y,,0.786
658,2:Y,1:N,+,0.668
659,1:N,1:N,,0.68
660,2:Y,2:Y,,0.886
661,1:N,1:N,,0.591
662,1:N,1:N,,0.947
663,1:N,1:N,,0.85
664,1:N,2:Y,+,0.523
665,1:N,1:N,,0.616
666,1:N,1:N,,0.859
667,1:N,2:Y,+,0.739
668,1:N,1:N,,0.53
669,1:N,1:N,,0.928
670,1:N,1:N,,0.992
671,2:Y,2:Y,,0.998
672,2:Y,2:Y,,0.842
673,1:N,1:N,,0.693
674,2:Y,2:Y,,0.86
675,1:N,1:N,,0.945
676,2:Y,2:Y,,0.95
677,2:Y,1:N,+,0.585
678,1:N,2:Y,+,0.973
679,2:Y,2:Y,,0.969
680,1:N,2:Y,+,0.675
681,1:N,1:N,,0.693
682,2:Y,2:Y,,0.941
683,2:Y,2:Y,,0.87
684,2:Y,2:Y,,0.964
685,2:Y,2:Y,,0.624
686,2:Y,2:Y,,1
687,2:Y,1:N,+,0.75
688,2:Y,1:N,+,0.616
689,2:Y,2:Y,,0.787
690,2:Y,1:N,+,0.902
691,1:N,1:N,,0.931
692,2:Y,1:N,+,0.554
693,1:N,1:N,,0.517
694,1:N,1:N,,0.984
695,2:Y,2:Y,,0.977
696,1:N,1:N,,0.519
697,1:N,1:N,,0.7
698,1:N,1:N,,0.915
699,1:N,2:Y,+,0.908
700,2:Y,2:Y,,0.867
701,1:N,1:N,,0.69
702,2:Y,2:Y,,0.978
703,2:Y,2:Y,,0.989
704,1:N,1:N,,0.637
705,2:Y,2:Y,,0.841
706,2:Y,1:N,+,0.649
707,2:Y,2:Y,,0.939
708,1:N,1:N,,0.614
709,1:N,2:Y,+,0.587
710,1:N,2:Y,+,0.925
711,2:Y,2:Y,,0.731
712,1:N,1:N,,0.862
713,2:Y,1:N,+,0.741
714,1:N,1:N,,0.964
715,2:Y,2:Y,,0.93
716,2:Y,2:Y,,0.664
717,1:N,1:N,,0.899
718,1:N,1:N,,0.988
719,1:N,1:N,,0.974
720,1:N,1:N,,0.95
721,2:Y,2:Y,,0.932
722,1:N,1:N,,0.594
723,1:N,2:Y,+,0.695
724,2:Y,2:Y,,0.979
725,2:Y,1:N,+,0.735
726,2:Y,2:Y,,0.962
727,1:N,1:N,,0.952
728,1:N,2:Y,+,0.877
729,1:N,1:N,,0.981
730,2:Y,2:Y,,0.913
731,1:N,1:N,,0.982
732,1:N,1:N,,0.545
733,1:N,1:N,,0.737
734,2:Y,1:N,+,0.554
735,1:N,1:N,,0.547
736,2:Y,2:Y,,0.885
737,1:N,2:Y,+,0.806
738,1:N,2:Y,+,0.928
739,2:Y,1:N,+,0.507
740,2:Y,2:Y,,0.585
741,1:N,1:N,,0.835
742,2:Y,2:Y,,0.928
743,1:N,1:N,,0.78
744,1:N,1:N,,0.92
745,2:Y,2:Y,,0.501
746,1:N,1:N,,0.955
747,1:N,2:Y,+,0.909
748,2:Y,2:Y,,0.832
749,1:N,1:N,,0.663
750,2:Y,2:Y,,0.673
751,2:Y,2:Y,,0.913
752,1:N,1:N,,0.627
753,1:N,1:N,,0.987
754,1:N,1:N,,0.551
755,2:Y,2:Y,,0.678
756,2:Y,2:Y,,0.86
757,2:Y,2:Y,,0.635
758,1:N,1:N,,0.991
759,2:Y,1:N,+,0.659
760,1:N,2:Y,+,0.709
761,2:Y,1:N,+,0.961
762,2:Y,1:N,+,0.948
763,2:Y,2:Y,,0.748
764,2:Y,1:N,+,0.592
765,1:N,2:Y,+,0.917
766,2:Y,2:Y,,0.945
767,2:Y,1:N,+,0.931
768,1:N,1:N,,0.626
769,2:Y,2:Y,,0.971
770,1:N,2:Y,+,0.882
771,2:Y,1:N,+,0.562
772,2:Y,1:N,+,0.831
773,2:Y,2:Y,,0.959
774,1:N,1:N,,0.98
775,2:Y,2:Y,,0.65
776,2:Y,2:Y,,0.835
777,2:Y,2:Y,,0.58
778,1:N,1:N,,0.97
779,2:Y,2:Y,,0.939
780,2:Y,2:Y,,0.628
781,2:Y,2:Y,,0.986
782,1:N,1:N,,0.996
783,1:N,2:Y,+,0.654
784,1:N,1:N,,0.604
785,2:Y,2:Y,,0.959
786,1:N,1:N,,0.993
787,2:Y,2:Y,,0.696
788,2:Y,1:N,+,0.792
789,1:N,2:Y,+,0.532
790,1:N,2:Y,+,0.771
791,1:N,1:N,,0.932
792,1:N,2:Y,+,0.721
793,1:N,2:Y,+,0.569
794,2:Y,2:Y,,0.745
795,2:Y,2:Y,,0.849
796,2:Y,1:N,+,0.694
797,2:Y,1:N,+,0.817
798,1:N,2:Y,+,0.607
799,2:Y,2:Y,,0.531
800,1:N,2:Y,+,0.566
801,2:Y,2:Y,,0.594
802,2:Y,1:N,+,0.697
803,1:N,1:N,,0.784
804,1:N,1:N,,0.899
805,1:N,1:N,,0.782
806,2:Y,1:N,+,0.998
807,2:Y,2:Y,,0.879
808,1:N,1:N,,0.599
809,2:Y,1:N,+,0.853
810,1:N,1:N,,0.776
811,1:N,1:N,,0.804
812,2:Y,2:Y,,0.775
813,1:N,1:N,,0.987
814,2:Y,2:Y,,0.593
815,2:Y,1:N,+,0.559
816,2:Y,2:Y,,0.95
817,1:N,2:Y,+,0.752
818,2:Y,2:Y,,0.776
819,2:Y,2:Y,,0.611
820,2:Y,2:Y,,0.909
821,2:Y,2:Y,,0.923
822,2:Y,2:Y,,0.869
823,2:Y,2:Y,,0.84
824,1:N,1:N,,1
825,1:N,1:N,,0.896
826,2:Y,1:N,+,0.717
827,2:Y,1:N,+,0.537
828,1:N,1:N,,0.946
829,2:Y,2:Y,,0.985
830,1:N,1:N,,0.953
831,1:N,1:N,,0.612
832,2:Y,2:Y,,0.896
833,2:Y,1:N,+,0.552
834,1:N,1:N,,0.943
835,2:Y,1:N,+,0.886
836,2:Y,2:Y,,0.916
837,1:N,1:N,,0.91
838,1:N,2:Y,+,0.971
839,2:Y,2:Y,,0.916
840,2:Y,2:Y,,0.957
841,1:N,1:N,,0.996
842,1:N,2:Y,+,0.612
843,2:Y,1:N,+,0.828
844,2:Y,2:Y,,0.996
845,1:N,2:Y,+,0.703
846,1:N,1:N,,0.641
847,1:N,1:N,,0.991
848,1:N,1:N,,0.826
849,1:N,2:Y,+,0.579
850,1:N,2:Y,+,0.685
851,1:N,1:N,,0.792
852,2:Y,2:Y,,0.952
853,1:N,1:N,,0.976
854,1:N,2:Y,+,0.963
855,2:Y,2:Y,,0.686
856,2:Y,2:Y,,0.687
857,1:N,1:N,,0.868
858,1:N,1:N,,0.685
