inst#,actual,predicted,error,prediction
131,1:N,2:Y,+,0.568
132,1:N,1:N,,0.618
133,2:Y,1:N,+,0.519
134,2:Y,2:Y,,0.566
135,2:Y,1:N,+,0.658
136,1:N,2:Y,+,0.554
137,2:Y,1:N,+,0.623
138,1:N,1:N,,0.911
139,1:N,2:Y,+,0.555
140,1:N,2:Y,+,0.599
141,2:Y,2:Y,,0.531
142,2:Y,1:N,+,0.609
143,2:Y,2:Y,,0.564
144,1:N,1:N,,0.728
145,2:Y,2:Y,,0.523
146,1:N,1:N,,0.672
147,2:Y,1:N,+,0.535
148,2:Y,1:N,+,0.685
149,2:Y,2:Y,,0.521
150,1:N,2:Y,+,0.579
151,2:Y,2:Y,,0.55
152,2:Y,2:Y,,0.546
153,1:N,1:N,,0.589
154,2:Y,1:N,+,0.58
155,2:Y,2:Y,,0.598
156,1:N,1:N,,0.558
157,2:Y,1:N,+,0.657
158,2:Y,1:N,+,0.504
159,2:Y,2:Y,,0.932
160,1:N,2:Y,+,0.58
161,1:N,1:N,,0.722
162,1:N,1:N,,0.724
163,2:Y,1:N,+,0.749
164,2:Y,1:N,+,0.641
165,1:N,1:N,,0.524
166,2:Y,2:Y,,0.824
167,2:Y,2:Y,,0.85
168,2:Y,2:Y,,0.659
169,1:N,2:Y,+,0.572
170,2:Y,2:Y,,0.789
171,1:N,1:N,,0.843
172,2:Y,2:Y,,0.667
173,1:N,1:N,,0.627
174,2:Y,2:Y,,0.883
175,1:N,1:N,,0.809
176,1:N,2:Y,+,0.517
177,1:N,1:N,,0.736
178,2:Y,2:Y,,0.675
179,2:Y,2:Y,,0.771
180,1:N,2:Y,+,0.778
181,2:Y,1:N,+,0.572
182,2:Y,2:Y,,0.9
183,1:N,2:Y,+,0.848
184,2:Y,2:Y,,0.521
185,1:N,1:N,,0.505
186,1:N,1:N,,0.778
187,1:N,1:N,,0.705
188,1:N,2:Y,+,0.512
189,1:N,1:N,,0.739
190,1:N,1:N,,0.876
191,2:Y,2:Y,,0.922
192,1:N,2:Y,+,0.506
193,1:N,2:Y,+,0.578
194,1:N,2:Y,+,0.695
195,2:Y,2:Y,,0.772
196,1:N,2:Y,+,0.596
197,1:N,1:N,,0.625
198,2:Y,2:Y,,0.745
199,1:N,1:N,,0.733
200,1:N,2:Y,+,0.635
201,1:N,1:N,,0.862
202,2:Y,2:Y,,0.846
203,2:Y,2:Y,,0.672
204,2:Y,2:Y,,0.708
205,2:Y,1:N,+,0.683
206,1:N,1:N,,0.862
207,1:N,1:N,,0.871
208,2:Y,2:Y,,0.722
209,2:Y,2:Y,,0.786
210,2:Y,1:N,+,0.694
211,1:N,1:N,,0.753
212,2:Y,2:Y,,0.735
213,2:Y,2:Y,,0.712
214,2:Y,2:Y,,0.846
215,1:N,1:N,,0.89
216,1:N,1:N,,0.736
217,2:Y,1:N,+,0.599
218,2:Y,2:Y,,0.675
219,1:N,1:N,,0.705
220,1:N,1:N,,0.635
221,2:Y,2:Y,,0.615
222,2:Y,2:Y,,0.684
223,1:N,1:N,,0.556
224,2:Y,2:Y,,0.567
225,2:Y,2:Y,,0.569
226,1:N,2:Y,+,0.598
227,1:N,1:N,,0.58
228,2:Y,1:N,+,0.515
229,1:N,2:Y,+,0.604
230,2:Y,2:Y,,0.535
231,1:N,1:N,,0.583
232,1:N,1:N,,0.576
233,2:Y,2:Y,,0.724
234,1:N,1:N,,0.827
235,2:Y,1:N,+,0.729
236,1:N,2:Y,+,0.503
237,1:N,2:Y,+,0.526
238,1:N,2:Y,+,0.52
239,2:Y,1:N,+,0.538
240,1:N,1:N,,0.649
241,1:N,1:N,,0.507
242,1:N,1:N,,0.639
243,1:N,1:N,,0.503
244,1:N,2:Y,+,0.501
245,2:Y,2:Y,,0.62
246,1:N,2:Y,+,0.584
247,1:N,2:Y,+,0.646
248,1:N,2:Y,+,0.586
249,1:N,1:N,,0.595
250,1:N,1:N,,0.64
251,2:Y,1:N,+,0.543
252,2:Y,2:Y,,0.509
253,1:N,2:Y,+,0.507
254,1:N,1:N,,0.893
255,1:N,2:Y,+,0.643
256,1:N,2:Y,+,0.71
257,2:Y,1:N,+,0.653
258,2:Y,2:Y,,0.709
259,2:Y,1:N,+,0.742
260,1:N,1:N,,0.664
261,2:Y,2:Y,,0.801
262,2:Y,2:Y,,0.82
263,1:N,1:N,,0.553
264,2:Y,2:Y,,0.68
265,2:Y,1:N,+,0.683
266,2:Y,2:Y,,0.78
267,2:Y,2:Y,,0.816
268,1:N,1:N,,0.643
269,2:Y,2:Y,,0.847
270,2:Y,2:Y,,0.812
271,2:Y,2:Y,,0.569
272,1:N,2:Y,+,0.574
273,1:N,2:Y,+,0.637
274,2:Y,2:Y,,0.607
275,2:Y,2:Y,,0.62
276,2:Y,2:Y,,0.701
277,1:N,1:N,,0.813
278,1:N,1:N,,0.782
279,2:Y,2:Y,,0.749
280,1:N,1:N,,0.688
281,1:N,1:N,,0.729
282,2:Y,1:N,+,0.672
283,2:Y,2:Y,,0.567
284,2:Y,2:Y,,0.643
285,2:Y,2:Y,,0.882
286,2:Y,2:Y,,0.944
287,2:Y,2:Y,,0.542
288,1:N,1:N,,0.814
289,2:Y,2:Y,,0.715
290,1:N,1:N,,0.79
291,2:Y,2:Y,,0.64
292,1:N,2:Y,+,0.656
293,1:N,1:N,,0.797
294,2:Y,1:N,+,0.691
295,1:N,2:Y,+,0.537
296,1:N,1:N,,0.566
297,2:Y,2:Y,,0.78
298,2:Y,2:Y,,0.682
299,2:Y,1:N,+,0.58
300,2:Y,1:N,+,0.58
301,1:N,2:Y,+,0.829
302,1:N,1:N,,0.93
303,1:N,1:N,,0.631
304,1:N,1:N,,0.686
305,2:Y,1:N,+,0.695
306,1:N,2:Y,+,0.552
307,2:Y,2:Y,,0.723
308,2:Y,2:Y,,0.634
309,1:N,2:Y,+,0.518
310,2:Y,2:Y,,0.778
311,2:Y,1:N,+,0.746
312,2:Y,2:Y,,0.829
313,1:N,1:N,,0.782
314,2:Y,2:Y,,0.879
315,2:Y,2:Y,,0.607
316,2:Y,2:Y,,0.701
317,1:N,1:N,,0.546
318,1:N,1:N,,0.606
319,2:Y,1:N,+,0.667
320,2:Y,2:Y,,0.739
321,2:Y,2:Y,,0.753
322,1:N,2:Y,+,0.653
323,1:N,2:Y,+,0.534
324,1:N,1:N,,0.615
325,2:Y,2:Y,,0.897
326,1:N,1:N,,0.505
327,2:Y,1:N,+,0.569
328,2:Y,1:N,+,0.512
329,1:N,1:N,,0.591
330,2:Y,2:Y,,0.708
331,2:Y,2:Y,,0.576
332,1:N,2:Y,+,0.618
333,1:N,1:N,,0.664
334,2:Y,1:N,+,0.538
335,2:Y,2:Y,,0.558
336,1:N,1:N,,0.725
337,1:N,1:N,,0.742
338,2:Y,1:N,+,0.57
339,2:Y,2:Y,,0.563
340,1:N,1:N,,0.933
341,1:N,2:Y,+,0.678
342,2:Y,2:Y,,0.538
343,2:Y,2:Y,,0.844
344,2:Y,2:Y,,0.561
345,2:Y,2:Y,,0.728
346,2:Y,2:Y,,0.765
347,2:Y,2:Y,,0.778
348,1:N,1:N,,0.56
349,1:N,1:N,,0.656
350,1:N,1:N,,0.821
351,2:Y,2:Y,,0.749
352,2:Y,2:Y,,0.669
353,1:N,1:N,,0.717
354,2:Y,2:Y,,0.825
355,2:Y,2:Y,,0.91
356,2:Y,2:Y,,0.595
357,1:N,1:N,,0.74
358,2:Y,2:Y,,0.589
359,2:Y,2:Y,,0.594
360,2:Y,2:Y,,0.751
361,2:Y,1:N,+,0.512
362,2:Y,1:N,+,0.79
363,1:N,1:N,,0.811
364,2:Y,2:Y,,0.579
365,2:Y,1:N,+,0.59
366,1:N,2:Y,+,0.598
367,1:N,1:N,,0.72
368,2:Y,2:Y,,0.644
369,2:Y,2:Y,,0.79
370,1:N,1:N,,0.684
371,2:Y,1:N,+,0.668
372,1:N,1:N,,0.618
373,2:Y,2:Y,,0.634
374,2:Y,2:Y,,0.517
375,2:Y,2:Y,,0.505
376,2:Y,2:Y,,0.562
377,1:N,2:Y,+,0.709
378,2:Y,1:N,+,0.701
379,1:N,1:N,,0.77
380,2:Y,2:Y,,0.501
381,1:N,2:Y,+,0.535
382,1:N,2:Y,+,0.631
383,1:N,1:N,,0.556
384,1:N,1:N,,0.694
385,1:N,1:N,,0.828
386,1:N,1:N,,0.624
387,1:N,1:N,,0.508
388,1:N,1:N,,0.753
389,2:Y,2:Y,,0.546
390,1:N,1:N,,0.779
391,2:Y,2:Y,,0.603
392,2:Y,1:N,+,0.668
393,1:N,1:N,,0.791
394,2:Y,1:N,+,0.825
395,1:N,1:N,,0.699
396,2:Y,2:Y,,0.549
397,1:N,1:N,,0.721
398,2:Y,2:Y,,0.777
399,2:Y,2:Y,,0.577
400,2:Y,2:Y,,0.649
401,1:N,1:N,,0.8
402,2:Y,2:Y,,0.743
403,1:N,2:Y,+,0.673
404,2:Y,2:Y,,0.582
405,2:Y,2:Y,,0.701
406,2:Y,2:Y,,0.701
407,2:Y,1:N,+,0.684
408,2:Y,1:N,+,0.733
409,2:Y,2:Y,,0.76
410,1:N,1:N,,0.576
411,2:Y,2:Y,,0.568
412,1:N,1:N,,0.886
413,2:Y,1:N,+,0.542
414,2:Y,2:Y,,0.665
415,1:N,1:N,,0.751
416,1:N,1:N,,0.768
417,2:Y,2:Y,,0.843
418,2:Y,2:Y,,0.613
419,1:N,1:N,,0.693
420,1:N,1:N,,0.674
421,2:Y,2:Y,,0.519
422,2:Y,2:Y,,0.545
423,1:N,1:N,,0.619
424,1:N,1:N,,0.583
425,2:Y,1:N,+,0.597
426,1:N,2:Y,+,0.593
427,2:Y,2:Y,,0.656
428,1:N,1:N,,0.538
429,2:Y,1:N,+,0.583
430,1:N,2:Y,+,0.527
431,2:Y,2:Y,,0.516
432,2:Y,2:Y,,0.824
433,2:Y,2:Y,,0.631
434,1:N,2:Y,+,0.677
435,2:Y,1:N,+,0.668
436,2:Y,2:Y,,0.785
437,1:N,1:N,,0.573
438,2:Y,2:Y,,0.576
439,1:N,1:N,,0.596
440,1:N,1:N,,0.636
441,1:N,1:N,,0.79
442,1:N,2:Y,+,0.662
443,1:N,2:Y,+,0.69
444,2:Y,2:Y,,0.556
445,2:Y,2:Y,,0.683
446,2:Y,2:Y,,0.891
447,1:N,1:N,,0.578
448,1:N,1:N,,0.728
449,1:N,1:N,,0.965
450,2:Y,1:N,+,0.68
451,1:N,2:Y,+,0.596
452,1:N,1:N,,0.73
453,1:N,1:N,,0.838
454,2:Y,1:N,+,0.537
455,1:N,1:N,,0.625
456,2:Y,2:Y,,0.629
457,1:N,1:N,,0.749
458,1:N,2:Y,+,0.665
459,1:N,1:N,,0.551
460,1:N,1:N,,0.822
461,1:N,1:N,,0.899
462,2:Y,1:N,+,0.69
463,2:Y,2:Y,,0.597
464,1:N,1:N,,0.832
465,1:N,1:N,,0.934
466,1:N,1:N,,0.771
467,1:N,2:Y,+,0.775
468,2:Y,2:Y,,0.688
469,1:N,1:N,,0.688
470,2:Y,2:Y,,0.676
471,1:N,1:N,,0.736
472,2:Y,2:Y,,0.771
473,1:N,1:N,,0.732
474,2:Y,2:Y,,0.625
475,1:N,2:Y,+,0.576
476,1:N,1:N,,0.636
477,2:Y,2:Y,,0.792
478,2:Y,2:Y,,0.695
479,2:Y,2:Y,,0.619
480,2:Y,2:Y,,0.944
481,1:N,1:N,,0.597
482,2:Y,2:Y,,0.649
483,2:Y,2:Y,,0.698
484,1:N,1:N,,0.792
485,2:Y,1:N,+,0.519
486,1:N,1:N,,0.519
487,1:N,1:N,,0.733
488,2:Y,1:N,+,0.688
489,1:N,1:N,,0.544
490,2:Y,2:Y,,0.546
491,2:Y,2:Y,,0.762
492,2:Y,1:N,+,0.724
493,1:N,2:Y,+,0.507
494,1:N,2:Y,+,0.637
495,1:N,1:N,,0.88
496,1:N,1:N,,0.893
497,1:N,1:N,,0.512
498,2:Y,2:Y,,0.802
499,1:N,1:N,,0.708
500,1:N,1:N,,0.716
501,1:N,2:Y,+,0.545
502,1:N,1:N,,0.686
503,1:N,1:N,,0.647
504,2:Y,2:Y,,0.811
505,1:N,2:Y,+,0.658
506,2:Y,2:Y,,0.716
507,1:N,1:N,,0.543
508,1:N,1:N,,0.633
509,2:Y,2:Y,,0.533
510,2:Y,2:Y,,0.504
511,2:Y,2:Y,,0.815
512,2:Y,2:Y,,0.89
513,2:Y,2:Y,,0.643
514,1:N,1:N,,0.577
515,1:N,1:N,,0.678
516,2:Y,2:Y,,0.879
517,2:Y,2:Y,,0.659
518,1:N,1:N,,0.588
519,2:Y,1:N,+,0.772
520,2:Y,2:Y,,0.812
521,1:N,2:Y,+,0.619
522,1:N,1:N,,0.58
523,2:Y,2:Y,,0.686
524,2:Y,2:Y,,0.686
525,1:N,1:N,,0.599
526,2:Y,1:N,+,0.577
527,1:N,1:N,,0.864
528,1:N,1:N,,0.814
529,2:Y,2:Y,,0.617
530,1:N,1:N,,0.512
531,2:Y,1:N,+,0.585
532,1:N,1:N,,0.777
533,1:N,2:Y,+,0.544
534,1:N,1:N,,0.728
535,2:Y,2:Y,,0.719
536,2:Y,2:Y,,0.814
537,1:N,2:Y,+,0.505
538,1:N,1:N,,0.636
539,2:Y,2:Y,,0.647
540,2:Y,1:N,+,0.593
541,2:Y,2:Y,,0.52
542,1:N,1:N,,0.656
543,2:Y,2:Y,,0.917
544,1:N,1:N,,0.936
545,2:Y,1:N,+,0.658
546,1:N,1:N,,0.786
547,1:N,1:N,,0.714
548,2:Y,2:Y,,0.596
549,1:N,2:Y,+,0.547
550,1:N,1:N,,0.556
551,2:Y,2:Y,,0.882
552,2:Y,2:Y,,0.848
553,1:N,1:N,,0.672
554,2:Y,2:Y,,0.7
555,1:N,2:Y,+,0.589
556,1:N,1:N,,0.86
557,2:Y,2:Y,,0.641
558,1:N,2:Y,+,0.6
559,2:Y,2:Y,,0.787
560,1:N,1:N,,0.782
561,1:N,2:Y,+,0.547
562,2:Y,1:N,+,0.67
563,1:N,2:Y,+,0.63
564,1:N,1:N,,0.783
565,2:Y,1:N,+,0.598
566,2:Y,1:N,+,0.584
567,1:N,1:N,,0.916
568,1:N,1:N,,0.78
569,1:N,1:N,,0.518
570,2:Y,1:N,+,0.769
571,1:N,1:N,,0.66
572,1:N,1:N,,0.667
573,1:N,2:Y,+,0.511
574,2:Y,1:N,+,0.514
575,2:Y,2:Y,,0.877
576,1:N,1:N,,0.911
577,2:Y,1:N,+,0.525
578,2:Y,2:Y,,0.535
579,2:Y,2:Y,,0.834
580,2:Y,2:Y,,0.803
581,2:Y,1:N,+,0.649
582,1:N,1:N,,0.668
583,1:N,1:N,,0.799
584,2:Y,2:Y,,0.829
585,2:Y,1:N,+,0.633
586,2:Y,2:Y,,0.67
587,2:Y,2:Y,,0.854
588,2:Y,2:Y,,0.728
589,2:Y,2:Y,,0.801
590,1:N,1:N,,0.623
591,1:N,1:N,,0.881
592,1:N,1:N,,0.879
593,2:Y,2:Y,,0.708
594,1:N,1:N,,0.852
595,1:N,1:N,,0.53
596,1:N,1:N,,0.86
597,2:Y,1:N,+,0.709
598,2:Y,2:Y,,0.553
599,1:N,1:N,,0.762
600,1:N,1:N,,0.759
601,2:Y,2:Y,,0.657
602,1:N,2:Y,+,0.707
603,1:N,2:Y,+,0.695
604,2:Y,2:Y,,0.666
605,1:N,1:N,,0.595
606,2:Y,1:N,+,0.812
607,2:Y,2:Y,,0.903
608,2:Y,1:N,+,0.532
609,1:N,2:Y,+,0.653
610,2:Y,2:Y,,0.76
611,1:N,1:N,,0.606
612,2:Y,2:Y,,0.792
613,2:Y,1:N,+,0.598
614,2:Y,2:Y,,0.728
615,2:Y,2:Y,,0.856
616,1:N,2:Y,+,0.553
617,1:N,2:Y,+,0.593
618,1:N,1:N,,0.774
619,1:N,2:Y,+,0.681
620,2:Y,2:Y,,0.537
621,2:Y,2:Y,,0.582
622,2:Y,2:Y,,0.847
623,2:Y,2:Y,,0.818
624,1:N,1:N,,0.534
625,1:N,2:Y,+,0.542
626,1:N,1:N,,0.689
627,1:N,2:Y,+,0.67
628,1:N,2:Y,+,0.554
629,2:Y,2:Y,,0.513
630,1:N,1:N,,0.776
631,2:Y,2:Y,,0.765
632,2:Y,2:Y,,0.605
633,1:N,2:Y,+,0.52
634,2:Y,2:Y,,0.766
635,2:Y,2:Y,,0.651
636,1:N,1:N,,0.789
637,1:N,2:Y,+,0.864
638,1:N,1:N,,0.827
639,1:N,1:N,,0.521
640,1:N,1:N,,0.668
641,1:N,1:N,,0.72
642,2:Y,2:Y,,0.637
643,1:N,1:N,,0.725
644,1:N,1:N,,0.724
645,2:Y,1:N,+,0.545
646,1:N,1:N,,0.732
647,2:Y,2:Y,,0.715
648,1:N,1:N,,0.505
649,1:N,1:N,,0.504
650,2:Y,2:Y,,0.637
651,1:N,1:N,,0.732
652,1:N,1:N,,0.582
653,2:Y,2:Y,,0.547
654,2:Y,2:Y,,0.872
655,2:Y,2:Y,,0.773
656,2:Y,2:Y,,0.527
657,2:Y,2:Y,,0.621
658,2:Y,1:N,+,0.561
659,1:N,1:N,,0.615
660,2:Y,2:Y,,0.728
661,1:N,1:N,,0.542
662,1:N,1:N,,0.815
663,1:N,1:N,,0.725
664,1:N,2:Y,+,0.519
665,1:N,1:N,,0.568
666,1:N,1:N,,0.705
667,1:N,2:Y,+,0.65
668,1:N,1:N,,0.544
669,1:N,1:N,,0.755
670,1:N,1:N,,0.898
671,2:Y,2:Y,,0.946
672,2:Y,2:Y,,0.729
673,1:N,1:N,,0.646
674,2:Y,2:Y,,0.728
675,1:N,1:N,,0.789
676,2:Y,2:Y,,0.798
677,2:Y,1:N,+,0.554
678,1:N,2:Y,+,0.844
679,2:Y,2:Y,,0.818
680,1:N,2:Y,+,0.611
681,1:N,1:N,,0.598
682,2:Y,2:Y,,0.818
683,2:Y,2:Y,,0.729
684,2:Y,2:Y,,0.8
685,2:Y,2:Y,,0.599
686,2:Y,2:Y,,0.97
687,2:Y,1:N,+,0.66
688,2:Y,1:N,+,0.575
689,2:Y,2:Y,,0.641
690,2:Y,1:N,+,0.787
691,1:N,1:N,,0.756
692,2:Y,2:Y,,0.529
693,1:N,2:Y,+,0.534
694,1:N,1:N,,0.885
695,2:Y,2:Y,,0.836
696,1:N,1:N,,0.528
697,1:N,1:N,,0.585
698,1:N,1:N,,0.776
699,1:N,2:Y,+,0.745
700,2:Y,2:Y,,0.693
701,1:N,1:N,,0.545
702,2:Y,2:Y,,0.843
703,2:Y,2:Y,,0.881
704,1:N,1:N,,0.572
705,2:Y,2:Y,,0.654
706,2:Y,1:N,+,0.547
707,2:Y,2:Y,,0.79
708,1:N,1:N,,0.67
709,1:N,2:Y,+,0.581
710,1:N,2:Y,+,0.723
711,2:Y,2:Y,,0.626
712,1:N,1:N,,0.718
713,2:Y,1:N,+,0.63
714,1:N,1:N,,0.828
715,2:Y,2:Y,,0.753
716,2:Y,2:Y,,0.557
717,1:N,1:N,,0.737
718,1:N,1:N,,0.898
719,1:N,1:N,,0.847
720,1:N,1:N,,0.793
721,2:Y,2:Y,,0.696
722,1:N,1:N,,0.503
723,1:N,2:Y,+,0.596
724,2:Y,2:Y,,0.827
725,2:Y,1:N,+,0.626
726,2:Y,2:Y,,0.8
727,1:N,1:N,,0.804
728,1:N,2:Y,+,0.711
729,1:N,1:N,,0.861
730,2:Y,2:Y,,0.735
731,1:N,1:N,,0.877
732,1:N,1:N,,0.541
733,1:N,1:N,,0.645
734,2:Y,1:N,+,0.516
735,1:N,1:N,,0.508
736,2:Y,2:Y,,0.728
737,1:N,2:Y,+,0.687
738,1:N,2:Y,+,0.78
739,2:Y,1:N,+,0.503
740,2:Y,2:Y,,0.566
741,1:N,1:N,,0.671
742,2:Y,2:Y,,0.76
743,1:N,1:N,,0.634
744,1:N,1:N,,0.587
745,2:Y,2:Y,,0.519
746,1:N,1:N,,0.767
747,1:N,2:Y,+,0.743
748,2:Y,2:Y,,0.65
749,1:N,1:N,,0.654
750,2:Y,2:Y,,0.553
751,2:Y,2:Y,,0.736
752,1:N,1:N,,0.574
753,1:N,1:N,,0.887
754,1:N,2:Y,+,0.524
755,2:Y,2:Y,,0.575
756,2:Y,2:Y,,0.694
757,2:Y,2:Y,,0.513
758,1:N,1:N,,0.903
759,2:Y,1:N,+,0.577
760,1:N,2:Y,+,0.568
761,2:Y,1:N,+,0.814
762,2:Y,1:N,+,0.762
763,2:Y,2:Y,,0.653
764,2:Y,1:N,+,0.557
765,1:N,2:Y,+,0.716
766,2:Y,2:Y,,0.784
767,2:Y,1:N,+,0.807
768,1:N,1:N,,0.633
769,2:Y,2:Y,,0.841
770,1:N,2:Y,+,0.695
771,2:Y,1:N,+,0.549
772,2:Y,1:N,+,0.688
773,2:Y,2:Y,,0.794
774,1:N,1:N,,0.874
775,2:Y,2:Y,,0.526
776,2:Y,2:Y,,0.661
777,2:Y,1:N,+,0.54
778,1:N,1:N,,0.85
779,2:Y,2:Y,,0.722
780,2:Y,2:Y,,0.511
781,2:Y,2:Y,,0.865
782,1:N,1:N,,0.939
783,1:N,2:Y,+,0.637
784,1:N,1:N,,0.597
785,2:Y,2:Y,,0.801
786,1:N,1:N,,0.923
787,2:Y,2:Y,,0.555
788,2:Y,1:N,+,0.669
789,1:N,2:Y,+,0.501
790,1:N,2:Y,+,0.629
791,1:N,1:N,,0.811
792,1:N,2:Y,+,0.593
793,1:N,2:Y,+,0.605
794,2:Y,2:Y,,0.65
795,2:Y,2:Y,,0.709
796,2:Y,1:N,+,0.537
797,2:Y,1:N,+,0.642
798,1:N,2:Y,+,0.606
799,2:Y,2:Y,,0.528
800,1:N,2:Y,+,0.542
801,2:Y,2:Y,,0.504
802,2:Y,1:N,+,0.566
803,1:N,1:N,,0.605
804,1:N,1:N,,0.732
805,1:N,1:N,,0.589
806,2:Y,1:N,+,0.934
807,2:Y,2:Y,,0.708
808,1:N,1:N,,0.519
809,2:Y,1:N,+,0.689
810,1:N,1:N,,0.64
811,1:N,1:N,,0.655
812,2:Y,2:Y,,0.621
813,1:N,1:N,,0.897
814,2:Y,2:Y,,0.656
815,2:Y,2:Y,,0.508
816,2:Y,2:Y,,0.761
817,1:N,2:Y,+,0.666
818,2:Y,2:Y,,0.647
819,2:Y,2:Y,,0.533
820,2:Y,2:Y,,0.735
821,2:Y,2:Y,,0.755
822,2:Y,2:Y,,0.704
823,2:Y,2:Y,,0.694
824,1:N,1:N,,0.985
825,1:N,1:N,,0.716
826,2:Y,1:N,+,0.567
827,2:Y,2:Y,,0.526
828,1:N,1:N,,0.781
829,2:Y,2:Y,,0.841
830,1:N,1:N,,0.775
831,1:N,2:Y,+,0.511
832,2:Y,2:Y,,0.718
833,2:Y,1:N,+,0.538
834,1:N,1:N,,0.775
835,2:Y,1:N,+,0.714
836,2:Y,2:Y,,0.725
837,1:N,1:N,,0.753
838,1:N,2:Y,+,0.821
839,2:Y,2:Y,,0.76
840,2:Y,2:Y,,0.784
841,1:N,1:N,,0.932
842,1:N,2:Y,+,0.568
843,2:Y,1:N,+,0.697
844,2:Y,2:Y,,0.934
845,1:N,2:Y,+,0.586
846,1:N,1:N,,0.537
847,1:N,1:N,,0.806
848,1:N,1:N,,0.674
849,1:N,2:Y,+,0.533
850,1:N,2:Y,+,0.577
851,1:N,1:N,,0.724
852,2:Y,2:Y,,0.811
853,1:N,1:N,,0.855
854,1:N,2:Y,+,0.802
855,2:Y,2:Y,,0.63
856,2:Y,2:Y,,0.581
