inst#,actual,predicted,error,prediction
83,1:N,2:Y,+,0.76
84,2:Y,2:Y,,0.76
85,1:N,2:Y,+,0.76
86,2:Y,2:Y,,0.76
87,1:N,2:Y,+,0.76
88,2:Y,2:Y,,0.76
89,2:Y,2:Y,,0.76
90,1:N,2:Y,+,0.76
91,1:N,2:Y,+,0.76
92,1:N,2:Y,+,0.76
93,1:N,2:Y,+,0.76
94,2:Y,2:Y,,0.76
95,1:N,2:Y,+,0.76
96,1:N,2:Y,+,0.76
97,2:Y,2:Y,,0.76
98,2:Y,2:Y,,0.76
99,2:Y,2:Y,,0.76
100,1:N,2:Y,+,0.76
101,1:N,2:Y,+,0.76
102,1:N,2:Y,+,0.76
103,2:Y,2:Y,,0.76
104,1:N,2:Y,+,0.76
105,1:N,2:Y,+,0.76
106,1:N,2:Y,+,0.76
107,1:N,2:Y,+,0.76
108,1:N,2:Y,+,0.76
109,2:Y,2:Y,,0.76
110,2:Y,2:Y,,0.76
111,1:N,2:Y,+,0.76
112,2:Y,2:Y,,0.76
113,1:N,2:Y,+,0.76
114,2:Y,2:Y,,0.76
115,1:N,2:Y,+,0.76
116,2:Y,2:Y,,0.76
117,2:Y,2:Y,,0.76
118,2:Y,2:Y,,0.76
119,2:Y,2:Y,,0.76
120,2:Y,2:Y,,0.76
121,2:Y,2:Y,,0.76
122,2:Y,2:Y,,0.76
123,2:Y,2:Y,,0.76
124,1:N,2:Y,+,0.76
125,1:N,2:Y,+,0.76
126,2:Y,2:Y,,0.76
127,1:N,2:Y,+,0.76
128,1:N,2:Y,+,0.76
129,2:Y,2:Y,,0.76
130,1:N,2:Y,+,0.76
131,1:N,2:Y,+,0.76
132,1:N,2:Y,+,0.76
133,2:Y,2:Y,,0.76
134,1:N,2:Y,+,0.76
135,1:N,2:Y,+,0.76
136,1:N,2:Y,+,0.76
137,1:N,2:Y,+,0.76
138,2:Y,2:Y,,0.76
139,1:N,2:Y,+,0.76
140,1:N,2:Y,+,0.76
141,2:Y,2:Y,,0.76
142,2:Y,2:Y,,0.76
143,2:Y,2:Y,,0.76
144,2:Y,2:Y,,0.76
145,1:N,2:Y,+,0.76
146,1:N,2:Y,+,0.76
147,1:N,2:Y,+,0.76
148,2:Y,2:Y,,0.76
149,2:Y,2:Y,,0.76
150,2:Y,2:Y,,0.76
151,2:Y,2:Y,,0.76
152,1:N,2:Y,+,0.76
153,2:Y,2:Y,,0.76
154,1:N,2:Y,+,0.76
155,2:Y,2:Y,,0.76
156,1:N,2:Y,+,0.76
157,2:Y,2:Y,,0.76
158,2:Y,2:Y,,0.76
159,2:Y,2:Y,,0.76
160,1:N,2:Y,+,0.76
161,1:N,2:Y,+,0.76
162,2:Y,2:Y,,0.76
163,2:Y,2:Y,,0.76
164,2:Y,2:Y,,0.76
165,1:N,2:Y,+,0.76
166,2:Y,2:Y,,0.76
167,1:N,2:Y,+,0.76
168,1:N,2:Y,+,0.76
169,1:N,2:Y,+,0.76
170,1:N,2:Y,+,0.76
171,1:N,2:Y,+,0.76
172,2:Y,2:Y,,0.76
173,1:N,2:Y,+,0.76
174,2:Y,2:Y,,0.76
175,1:N,2:Y,+,0.76
176,2:Y,2:Y,,0.76
177,2:Y,2:Y,,0.76
178,1:N,2:Y,+,0.76
179,1:N,2:Y,+,0.76
180,2:Y,2:Y,,0.76
181,1:N,2:Y,+,0.76
182,1:N,2:Y,+,0.76
183,1:N,2:Y,+,0.76
184,1:N,2:Y,+,0.76
185,1:N,2:Y,+,0.76
186,1:N,2:Y,+,0.76
187,2:Y,2:Y,,0.76
188,1:N,2:Y,+,0.76
189,1:N,2:Y,+,0.76
190,2:Y,2:Y,,0.76
191,1:N,2:Y,+,0.76
192,1:N,2:Y,+,0.76
193,2:Y,2:Y,,0.76
194,2:Y,2:Y,,0.76
195,2:Y,2:Y,,0.76
196,1:N,2:Y,+,0.76
197,1:N,2:Y,+,0.76
198,2:Y,2:Y,,0.76
199,1:N,2:Y,+,0.76
200,1:N,2:Y,+,0.76
201,2:Y,2:Y,,0.76
202,2:Y,2:Y,,0.76
203,1:N,2:Y,+,0.76
204,2:Y,2:Y,,0.76
205,1:N,2:Y,+,0.76
206,1:N,2:Y,+,0.76
207,2:Y,2:Y,,0.76
208,1:N,2:Y,+,0.76
209,2:Y,2:Y,,0.76
210,2:Y,2:Y,,0.76
211,1:N,2:Y,+,0.76
212,2:Y,2:Y,,0.76
213,1:N,2:Y,+,0.76
214,1:N,2:Y,+,0.76
215,1:N,2:Y,+,0.76
216,1:N,2:Y,+,0.76
217,2:Y,2:Y,,0.76
218,1:N,2:Y,+,0.76
219,1:N,2:Y,+,0.76
220,2:Y,2:Y,,0.76
221,2:Y,2:Y,,0.76
222,1:N,2:Y,+,0.76
223,2:Y,2:Y,,0.76
224,2:Y,2:Y,,0.76
225,2:Y,2:Y,,0.76
226,2:Y,2:Y,,0.76
227,2:Y,2:Y,,0.76
228,1:N,2:Y,+,0.76
229,1:N,2:Y,+,0.76
230,1:N,2:Y,+,0.76
231,2:Y,2:Y,,0.76
232,1:N,2:Y,+,0.76
233,1:N,2:Y,+,0.76

